len, median BS, stdev BS, median IS, stdev IS
10500,11.6,1.777638883463118,3.45,0.9733961166965892
10600,11.66,1.7159254063041312,3.49,1.0816191566350883
10700,11.81,1.9219521325985196,3.41,1.1322102278287365
10800,12.13,1.432864264332111,3.57,1.2430205147140576
10900,11.99,1.4999666662962885,3.73,1.3255564869140812
11000,11.55,1.8186533479473213,3.31,1.1286717857729947
11100,12.21,1.4021055595068443,3.54,1.291665591397402
11200,11.89,1.666703332930009,3.42,1.1931470990619721
11300,12.1,1.55884572681199,3.36,1.1620671237067157
11400,11.95,1.6393596310755,3.47,1.0904586191139949
11500,12.04,1.4485855169785455,3.37,1.3164725595317206
11600,12.3,1.7349351572897471,3.77,1.3989639023220002
11700,11.99,1.6093166251549138,3.48,1.1356055653262713
11800,12.14,1.643289384131717,3.52,1.17881296226331
11900,12.38,1.2631706139710501,3.4,1.0770329614269
12000,12.05,1.4097872179871689,3.43,1.259007545648556
12100,11.89,1.6179925834193436,3.53,1.071960820179544
12200,12.3,1.4933184523068082,3.63,1.2300812981262659
12300,12.03,1.851782924643167,3.34,1.1333137253205747
12400,12.19,1.5918228544659117,3.34,1.0603772913449248
12500,12.41,1.549806439527207,3.52,1.2687001221722967
12600,12.01,1.6339828640472338,3.45,1.16081867662439
12700,12.29,1.601842688905499,3.67,1.265345802537789
12800,12.29,1.5052906696050439,3.66,1.2346659467240517
12900,12.13,1.7813197354770427,3.61,1.1566762727747124
13000,12.24,1.5692036196746422,3.5,1.044030650891055
13100,12.19,1.494623698460587,3.52,1.2204917041913883
13200,12.31,1.4744151382836523,3.53,1.1441590798486025
13300,12.12,1.6017490440140745,3.55,1.2196310917650466
13400,12.33,1.3119070088996403,3.56,1.219180052330254
13500,12.17,1.6616558007000124,3.59,1.2577360613419653
13600,12.26,1.4739063742314162,3.74,1.1629273408085306
13700,12.56,1.373462777071152,3.61,1.0478072341800284
13800,12.43,1.5182555779578097,3.46,1.2523577763562619
13900,12.45,1.5960889699512364,3.57,0.9925220400575492
14000,12.3,1.621727474022686,3.51,1.2609123680890753
14100,12.47,1.6276056033327,3.55,1.1863810517704674
14200,12.54,1.4793241700181874,3.57,1.193775523287356
14300,12.26,1.6038703189472643,3.58,1.2820296408429877
14400,12.5,1.57797338380595,3.46,1.0528057750601492
14500,12.6,1.6062378404209017,3.55,1.2439855304624732
14600,12.39,1.719854645020909,3.55,1.1079259903080168
14700,12.65,1.4097872179871689,3.52,1.1788129622633097
14800,12.52,1.7057549648176318,3.53,1.0904586191139949
14900,12.36,1.4800000000000009,3.66,1.1934822998268548
15000,12.41,1.3935207210515386,3.57,1.2430205147140576
15100,12.42,1.6259151269362124,3.76,1.0307278981380097
15200,12.28,1.6497272501841025,3.86,1.392982411949267
15300,12.44,1.4718695594379294,3.42,1.0409610943738483
15400,12.47,1.539188097667079,3.57,1.0793979803575693
15500,12.62,1.4545102268461367,3.59,1.1924344845734711
15600,12.35,1.6147755261955146,3.53,1.2841728855570813
15700,12.35,1.3738631664034087,3.42,1.1677328461596
15800,12.72,1.2335315156087423,3.62,1.214742771124817
15900,12.4,1.58113883008419,3.48,1.153082824431966
16000,12.34,1.4847221962373962,3.59,1.0963119993870354
16100,12.25,1.6147755261955143,3.54,1.0432641084595986
16200,12.46,1.5647363995254921,3.62,1.0934349546269313
16300,12.88,1.210619676033725,3.58,1.2097933707869286
16400,12.41,1.7383612973142257,3.72,1.2006664815842907
16500,12.62,1.4545102268461365,3.61,1.1738398527908318
16600,12.43,1.7392814608337566,3.73,1.302727907124124
16700,12.66,1.2507597691003651,3.63,1.092291169972549
16800,12.68,1.515783625719713,3.55,0.963068014212911
16900,12.18,1.7284675293449983,3.54,1.2117755567760888
17000,12.58,1.6073580808270447,3.57,1.234949391675627
17100,12.52,1.6880758276807353,3.59,1.2090905673273609
17200,12.32,1.7825823964125753,3.69,1.2140428328522852
17300,12.58,1.4503792607452712,3.62,1.1643023662262308
17400,12.83,1.8278676100855875,3.53,1.0339729203417276
17500,12.54,1.5963708842245898,3.47,1.0531381675734675
17600,12.68,1.287478155154487,3.68,1.190630085290978
17700,12.7,1.3,3.71,1.2271511724314983
17800,12.76,1.6069847541280529,3.61,1.0853110153315506
17900,12.92,1.092520022699813,3.45,1.0988630487917956
18000,12.59,1.6005936398724072,3.66,1.1244554237496471
18100,12.5,1.6401219466856725,3.54,1.080925529349733
18200,12.99,1.499966666296289,3.51,1.1789402020458881
18300,12.69,1.9167420275039626,3.7,1.0723805294763609
18400,12.71,1.583003474411854,3.7,1.1180339887498951
18500,13.0,1.5491933384829668,3.58,1.0970870521521978
18600,12.94,1.4270248771482588,3.65,1.2114041439585719
18700,12.76,1.312402377321833,3.6,1.3190905958272923
18800,12.95,1.2196310917650472,3.74,1.145600279329575
18900,12.9,1.5779733838059504,3.5,1.1357816691600546
19000,12.77,1.2397983707038813,3.83,1.2653458025377877
